complaint_text,category,department
The water supply in our neighborhood is irregular and needs to be fixed urgently.,Infrastructure,Public Works
The public transportation service is overcrowded and unreliable. Immediate action is needed.,Public Safety,Public Safety Department
"There is no proper sanitation in our area, making it unsafe for residents.",Health,Health Department
I am being unfairly treated by my supervisor and demand immediate intervention.,Human Resources,Human Resources
Our local hospital lacks medical supplies and staff. Patients are suffering.,Health,Health Department
"The roads are filled with potholes, causing damage to vehicles and accidents.",Infrastructure,Public Works
There is no access to clean drinking water in rural areas.,Public Health,Public Health Department
"The garbage collection service is infrequent, creating a health hazard in our community.",Public Health,Public Health Department
"Emergency response times are slow, leading to avoidable harm during disasters.",Public Safety,Emergency Services
Lack of proper drainage systems is causing flooding in many neighborhoods.,Infrastructure,Public Works
"The local school is overcrowded, and students are not receiving adequate education.",Education,Education Department
"There is no street lighting in our neighborhood, making it unsafe at night.",Public Safety,Public Safety Department
"Our hospital is understaffed, and patients have to wait for hours for treatment.",Health,Health Department
Public transportation is expensive and inefficient. It's difficult for people to commute.,Public Transportation,Public Transportation
The roads are so bad that they are causing car accidents and damaging vehicles.,Infrastructure,Public Works
The sewage system in our area is outdated and needs urgent repairs.,Health,Health Department
"We have insufficient emergency response services in our area, causing delays.",Public Safety,Public Safety Department
"The local police station is understaffed, leading to slow response times.",Human Resources,Human Resources
"There's a lack of affordable housing in our city, and the government is doing nothing.",Housing,Housing Department
"The water quality in our area is poor, and we are experiencing frequent outages.",Health,Health Department
"There are frequent power cuts, affecting the daily lives of residents.",Energy,Energy Department
The healthcare facilities in our area are substandard and need improvement.,Health,Health Department
"Our city's waste management system is inefficient, leading to garbage piling up.",Waste Management,Waste Management
"There is a lack of basic healthcare facilities in rural areas, which is causing health issues.",Public Safety,Public Safety Department
The local authorities are not doing enough to combat air pollution in the area.,Public Safety,Public Safety Department
Our school lacks essential educational resources such as books and technology.,Infrastructure,Public Works
There is frequent flooding in our area due to poorly maintained drainage systems.,Public Health,Public Health Department
"We have been waiting for proper road repairs for months, but nothing has been done.",Public Transportation,Public Transportation
"Our local library is outdated, and the resources are not up to date with modern education standards.",Public Safety,Public Safety Department
The water supply in my neighborhood has been unreliable for months.,Waste Management,Waste Management
"Local health clinics are overcrowded, and it takes too long to receive treatment.",Infrastructure,Infrastructure Department
"The roads in my area are riddled with potholes, making travel dangerous.",Education,Education Department
"The traffic lights in my area are malfunctioning, causing major traffic jams.",Public Safety,Public Safety Department
"The garbage collection service is infrequent, and it’s a public health concern.",Health,Health Department
"There is no public transportation in rural areas, making it difficult for people to commute.",Public Safety,Public Safety Department
The local park is poorly maintained and full of trash.,Housing,Housing Department
We need more police patrols in our area to ensure safety.,Public Health,Public Health Department
"Our area lacks proper sanitation facilities, which is leading to an increase in diseases.",Public Safety,Public Safety Department
"The public library is closed for renovation, and there is no timeline for reopening.",Education,Public Education
The medical facilities in our area are insufficient and need urgent attention.,Infrastructure,Waste Management
"There’s a lack of pedestrian infrastructure in my city, making it unsafe for walking.",Waste Management,Infrastructure Department
There is frequent flooding in my area due to blocked drainage systems.,Public Safety,Human Resources Department
The public transportation buses are old and uncomfortable.,Human Resources,Infrastructure Department
Our local school lacks proper classrooms for students.,Infrastructure,Public Health
The roads in my neighborhood need urgent resurfacing.,Public Health,Public Safety Department
