complaint_text,category,department
The public transportation system is unreliable and uncomfortable for passengers.,Public Safety,Public Safety Department
The lack of proper waste management in our city is leading to garbage piling up on the streets.,Environment,Environmental Protection Agency
"There is a water scarcity issue in the region, urgent attention is needed.",Environment,Environmental Protection Agency
Our local health center is not able to treat emergency cases due to lack of resources.,Health,Health Department
"Plastic waste is being dumped into rivers, and it is affecting the local wildlife.",Environment,Environmental Protection Agency
The local hospital's emergency department is understaffed and cannot handle the number of patients.,Health,Health Department
"The street lights in our area are constantly malfunctioning, leading to unsafe conditions at night.",Public Safety,Public Safety Department
The public park near our area is not safe due to poor lighting and maintenance.,Public Safety,Public Safety Department
The playground in the local park is unsafe for children and needs repairs.,Public Safety,Public Safety Department
There is a need for better extracurricular activities and programs in schools for students' holistic development.,Education,Education Department
"Our schools lack modern educational tools and technologies, affecting students' learning experience.",Education,Education Department
There have been several car accidents due to poor street lighting in our neighborhood.,Public Safety,Public Safety Department
"Our health system is not equipped to deal with mental health issues, and it's affecting people in our community.",Health,Health Department
"Deforestation is happening rapidly in our region, and it needs to be stopped immediately.",Environment,Environmental Protection Agency
"The street lights in our area are constantly malfunctioning, leading to unsafe conditions at night.",Public Safety,Public Safety Department
"Trees are being cut down in our region without any replanting efforts, leading to environmental damage.",Environment,Environmental Protection Agency
"Our schools lack modern educational tools and technologies, affecting students' learning experience.",Education,Education Department
"The street lights in our area are constantly malfunctioning, leading to unsafe conditions at night.",Public Safety,Public Safety Department
"Illegal dumping of waste is occurring in our neighborhood, and it's causing a health hazard.",Environment,Environmental Protection Agency
We need better career counseling services in schools to guide students in their future choices.,Education,Education Department
The streets in our city are filled with garbage and need to be cleaned immediately.,Infrastructure,Public Works
There are serious safety concerns in the local community center due to structural damage.,Public Safety,Public Safety Department
The local health center doesn't have the necessary equipment to treat chronic diseases.,Health,Health Department
We request more medical staff in the hospital to handle the growing patient load.,Health,Health Department
The local education system needs reform to better prepare students for the job market.,Education,Education Department
The lack of proper waste management in our city is leading to garbage piling up on the streets.,Environment,Environmental Protection Agency
